time_cars,time_AT,CU,CPF
25.957799309659467,16.12285563488054,0.0,20.0
22.365248666734487,16.991602902557315,0.0,23.3333
19.642889538936366,17.42187265804874,0.0,26.666600000000003
18.100808065504452,18.100808065504452,2.1759473429489464,29.999900000000004
18.79541229434551,18.79541229434551,9.292236344785819,33.333200000000005
19.338867052528258,19.338867052528258,17.034623066567413,36.666500000000006
19.687171083828293,19.687171083828293,24.494841481691708,39.99980000000001
20.340506683939385,20.340506683939385,32.91271468387355,43.33310000000001
21.00774827795723,21.00774827795723,42.43628294220007,46.66640000000001
21.435359563152943,21.435359563152943,50.58078319030768,49.99970000000001
22.013862242976664,22.013862242976664,60.18641098227228,53.33300000000001
22.71587567817719,22.71587567817719,71.48372401660288,56.666300000000014
23.368372167244218,23.368372167244214,82.48292467832685,59.999600000000015
24.181300213543885,24.181300213543885,94.08748840451683,63.332900000000016
23.742775514550267,25.780348024324432,100.0,66.66620000000002
22.87643191602534,28.606628315425326,100.0,69.99950000000001
21.84662931862273,32.06116452306336,100.0,73.33280000000002
